"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Бэтмен: Лечебница Аркхем";"Batman: Arkham Asylum";"2009";"8";"2015-01-15 17:38:06"
"Alpha Protocol";"";"2010";"6";"2015-01-15 17:37:48"
"DeathSpank";"";"2010";"5";"2015-01-15 17:32:21"
"Sacred 2: Падший ангел";"";"2008";"5";"2015-01-15 17:32:00"
"Devil May Cry 4";"";"2008";"7";"2015-01-15 17:31:06"
"Deus Ex: Invisible War";"";"2003";"5";"2015-01-15 17:30:39"
"Dead Space";"";"2008";"9";"2015-01-15 17:30:17"
"Beowulf the Game";"";"2008";"4";"2015-01-15 17:29:37"
"Bully: Scholarship Edition";"";"2008";"6";"2015-01-15 17:29:21"
"Fallout 3";"";"2008";"9";"2015-01-15 17:28:42"
"Южный парк: Палка Истины";"South Park: The Stick of Truth";"2014";"8";"2015-01-09 14:54:06"
"DC Universe Online";"";"2011";"6";"2015-01-03 23:38:10"
"Hearthstone: Heroes of Warcraft";"";"2013";"8";"2015-01-03 17:58:30"
"Injustice: Gods Among Us";"";"2013";"10";"2014-12-25 20:52:22"
"Injustice: Gods Among Us (mobile)";"";"2013";"10";"2014-12-25 20:43:50"
"Dragon Age: Inquisition";"";"2013";"10";"2014-12-23 15:32:39"
"Of Orcs and Men";"Про орков и людей";"2012";"7";"2014-12-12 16:25:34"
