"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Мы пришли с миром";"";"2005";"7";"2015-01-08 15:02:12"
"Племя Тигра";"";"2006";"4";"2015-01-08 14:59:01"
"Путешествия Тафа";"";"1995";"9";"2015-01-08 14:54:56"
"Повязанный кровью";"";"2007";"6";"2015-01-08 14:54:39"
"Малый типовой набор";"";"1993";"8";"2015-01-04 14:29:25"
"Механик ее величества";"";"2006";"8";"2015-01-04 14:26:50"
"Хроники Хоукмуна 3: Меч Рассвета";"";"1968";"8";"2015-01-04 14:26:39"
"Это сон";"";"1998";"9";"2015-01-04 14:26:25"
"Проводник (С. Вартанов)";"";"1998";"9";"2015-01-04 14:26:14"
"Кристалл (С. Вартанов)";"";"1998";"10";"2015-01-04 14:26:02"
"Пора закрываться";"";"1982";"5";"2015-01-04 14:25:47"
"Скользкий";"";"2006";"8";"2015-01-04 14:24:19"
"А. С. Секретная миссия";"";"2006";"6";"2015-01-04 14:23:55"
"Ричард Длинные Руки — пфальцграф";"";"2007";"8";"2015-01-04 14:21:30"
"Штампованное счастье: Год 2180";"";"2006";"6";"2015-01-04 14:18:07"
"Лев колдунья и платяной шкаф";"";"1950";"7";"2015-01-04 14:17:39"
"Дорога домой 3: Под знаменем пророчества";"";"2006";"7";"2015-01-04 14:17:25"
"Проходящий сквозь стены (Ю. Никитин)";"";"2006";"9";"2015-01-04 14:17:09"
"Пир стервятников";"";"2005";"8";"2015-01-04 14:16:55"
"Пиранья: Алмазный спецназ";"";"2006";"5";"2015-01-04 14:16:43"
"Серый ферзь: Книга шестая — Страсти по принцессе";"";"2002";"6";"2015-01-04 14:16:30"
"Серый ферзь: Книга третья — Это и моя война";"";"2003";"6";"2015-01-04 14:16:17"
"Серый ферзь: Книга пятая — Высокое искусство бегства";"";"2002";"5";"2015-01-04 14:15:55"
"Серый ферзь: Книга вторая — Чужой среди чужих";"";"2002";"8";"2015-01-04 14:15:42"
"Божьи воины";"";"2004";"5";"2015-01-04 14:15:24"
"Последнее желание: Ведьмак";"";"1986";"8";"2015-01-04 14:15:11"
"Зачеловек";"";"2003";"8";"2015-01-04 14:14:53"
"Empire V";"";"2006";"8";"2015-01-04 14:14:42"
"Воды спят";"";"1999";"6";"2015-01-04 14:14:01"
"Авантюрист (С. Дяченко)";"";"2000";"10";"2015-01-04 14:13:45"
"Волчья стая (А. Бушков)";"";"1998";"5";"2015-01-04 14:13:27"
"Самый далекий берег";"";"2003";"5";"2015-01-04 14:13:09"
"Прозрачные витражи";"";"2000";"9";"2015-01-04 14:12:47"
"По ту сторону льда";"";"2004";"5";"2015-01-04 14:12:25"
"Война и мир (1869)";"";"1869";"5";"2015-01-04 14:12:13"
"Сладкозвучный серебряный блюз";"";"1987";"8";"2015-01-04 14:11:59"
"Зубы настежь";"";"1998";"10";"2015-01-04 14:11:45"
"Враг короны";"";"2005";"6";"2015-01-04 14:11:33"
"Россия которой не было";"";"1997";"6";"2015-01-04 14:11:21"
"Дикое золото (А. Бушков)";"";"2000";"5";"2015-01-04 14:11:05"
"Империя зла";"";"1998";"10";"2015-01-04 14:10:15"
"Черный Отряд (Г. Кук)";"";"1984";"10";"2015-01-04 14:08:11"
"Техномагия — 2: Враг неведом";"";"1997";"6";"2015-01-04 14:07:59"
"Белая Роза (Г. Кук)";"";"1985";"10";"2015-01-04 14:07:36"
"Солдаты живут";"";"2000";"9";"2015-01-04 14:07:21"
"Ричард Длинные Руки — паладин Господа";"";"2002";"10";"2015-01-04 14:07:08"
"Пиранья: Бродячее сокровище";"";"2003";"6";"2015-01-04 14:06:55"
"Жар сумрачной стали";"";"1999";"8";"2015-01-04 14:06:41"
"Скифы (Ю. Никитин)";"";"2000";"9";"2015-01-04 14:06:30"
"Капкан для Бешеной";"";"1996";"6";"2015-01-04 14:06:17"
"Стальные сны";"";"1990";"7";"2015-01-04 14:06:02"
"Грон 3: Последняя битва";"";"2002";"6";"2015-01-04 14:05:31"
"Битва Королей";"";"1998";"8";"2015-01-04 14:05:15"
"Не время для драконов";"";"1997";"6";"2015-01-04 14:05:00"
"Архимаг";"";"2004";"7";"2015-01-04 14:04:47"
"Наемник Его Величества";"";"2005";"8";"2015-01-04 14:04:31"
"Поколение П";"";"1999";"8";"2015-01-04 14:04:15"
"Освободитель (В. Суворов)";"";"2001";"7";"2015-01-04 14:03:59"
"Дочь железного дракона";"";"1988";"10";"2015-01-04 14:02:58"
"Трехручный меч";"";"2003";"10";"2015-01-04 14:02:45"
"Пленник короны";"";"2004";"6";"2015-01-04 14:02:32"
"Охота на пиранью";"";"1996";"8";"2015-01-04 14:02:12"
"След пираньи";"";"1996";"6";"2015-01-04 14:01:58"
"Спаситель Короны";"";"2005";"6";"2015-01-04 14:01:47"
"Первое Правило Волшебника";"";"1994";"4";"2015-01-04 14:01:32"
"Мрак (Ю. Никитин)";"";"1996";"10";"2015-01-04 14:01:17"
"Мне — 65";"";"2004";"10";"2015-01-04 14:00:34"
"Баймер";"";"2001";"10";"2015-01-04 13:56:54"
"Тьма (Г. Кук)";"";"1997";"7";"2015-01-04 13:56:39"
"Святой Грааль (Ю. Никитин)";"";"1994";"8";"2015-01-04 13:56:20"
"Контроль";"";"2005";"9";"2015-01-04 13:54:56"
"Властелин Колец: Две башни";"";"1954";"7";"2015-01-04 13:54:38"
"Три глаза и шесть рук";"";"2004";"8";"2015-01-04 13:54:21"
"Кровь эльфов (А. Сапковский)";"";"1994";"8";"2015-01-04 13:54:04"
"Холодные медные слезы";"";"1988";"8";"2015-01-04 13:53:49"
"Пиранья: Жизнь длиннее смерти";"";"2003";"7";"2015-01-04 13:53:36"
"Без пощады (Г. Кук)";"";"1985";"8";"2015-01-04 13:53:21"
"Главный бой";"";"1999";"9";"2015-01-04 13:53:01"
"Черновик (С. Лукьяненко)";"";"2005";"7";"2015-01-04 13:52:42"
"Геном (Сергей Лукьяненко)";"";"1999";"7";"2015-01-04 13:52:02"
"Великий маг";"";"2002";"10";"2014-12-31 15:53:11"
"Война мага: Дебют";"";"2003";"7";"2014-12-31 15:52:54"
"Ингвар и Ольха";"";"1998";"8";"2014-12-31 15:52:40"
"Четвертый тост";"";"2000";"5";"2014-12-31 15:52:26"
"Трудно быть богом (1964)";"";"1964";"8";"2014-12-31 15:50:41"
"Суровые времена";"";"1996";"6";"2014-12-31 15:50:26"
"Земля наша велика и обильна";"";"2004";"10";"2014-12-31 15:50:12"
"Передышка в Барбусе";"";"2004";"9";"2014-12-31 15:49:59"
"Хроники Хоукмуна 2: Амулет безумного бога";"";"1968";"8";"2014-12-31 15:49:48"
"Игра престолов";"";"1996";"8";"2014-12-31 15:49:35"
"Откровение (Ю. Никитин)";"";"1997";"7";"2014-12-31 15:49:22"
"Джанга с тенями";"";"2002";"8";"2014-12-31 15:49:07"
"Пикник на обочине";"";"1972";"8";"2014-12-31 15:48:54"
"Крадущийся в тени";"";"2002";"8";"2014-12-31 15:48:39"
"Нелетная погода";"";"2005";"6";"2014-12-31 15:48:28"
"Слимп";"";"2001";"6";"2014-12-31 15:48:13"
"Пиранья: Звезда на волнах";"";"2002";"4";"2014-12-31 15:47:59"
"Преступление и наказание (1866)";"";"1866";"5";"2014-12-31 15:47:41"
"Чужие зеркала";"";"2001";"7";"2014-12-31 15:47:16"
"Трое в песках";"";"1994";"10";"2014-12-31 15:47:04"
"Евгений Онегин (1833)";"";"1833";"4";"2014-12-31 15:46:53"
"Тайга и зона";"";"2003";"5";"2014-12-31 15:46:39"
"Самоцветные горы";"";"2003";"6";"2014-12-31 15:46:25"
"Властелин Колец: Братство Кольца";"";"1954";"7";"2014-12-31 15:46:12"
"Выбор (В. Суворов)";"";"2004";"9";"2014-12-31 15:45:57"
"Дикарка. Чертово городище";"";"2005";"5";"2014-12-31 15:45:31"
"Верные враги";"";"2005";"7";"2014-12-31 15:43:15"
"Череп в небесах";"";"2004";"7";"2014-12-31 15:43:01"
"Князь Владимир (2000)";"";"2000";"9";"2014-12-31 15:42:46"
"Под знаком мантикоры";"";"2004";"7";"2014-12-31 15:42:29"
"Собака Баскервилей";"";"1902";"6";"2014-12-31 15:42:17"
"Желтая стрела";"";"1993";"8";"2014-12-31 15:42:04"
"Алмазный меч, Деревянный меч";"";"1998";"7";"2014-12-31 15:41:50"
"Черное копье";"";"1994";"7";"2014-12-31 15:41:07"
"Аквариум (1999)";"";"1999";"6";"2014-12-31 15:40:54"
"Дочь некроманта";"";"2004";"6";"2014-12-31 15:40:41"
"Мифонебылицы";"";"2007";"9";"2014-12-31 15:40:27"
"Техномагия — 1: Разрешенное волшебство";"";"1996";"7";"2014-12-31 15:39:57"
"Жалкие свинцовые божки";"";"1995";"8";"2014-12-31 15:39:36"
"Омон Ра";"";"1992";"9";"2014-12-31 15:39:21"
"Анастасия (А. Бушков)";"";"1990";"7";"2014-12-31 15:39:08"
"Час Презрения";"";"1995";"9";"2014-12-31 15:38:45"
"Фрайди";"";"1982";"8";"2014-12-31 15:38:16"
"Лик Черной Пальмиры";"";"2003";"6";"2014-12-31 15:37:57"
"Мастер и Маргарита";"";"1940";"4";"2014-12-31 15:37:44"
"Стервятник";"";"1996";"6";"2014-12-31 15:37:31"
"Чародей звездолета «Агуди»";"";"2003";"8";"2014-12-31 15:37:06"
"Герой нашего времени (1840)";"";"1840";"4";"2014-12-31 15:36:50"
"Война мага: Миттельшпиль";"";"2004";"8";"2014-12-31 15:36:34"
"Мегамир";"";"1991";"10";"2014-12-31 15:36:20"
"Трое из леса";"";"1993";"10";"2014-12-31 15:36:12"
"Трое и боги: Трое и Дана";"";"1993";"10";"2014-12-31 15:35:56"
"Властелин Колец: Возвращение Короля";"";"1955";"8";"2014-12-31 15:35:19"
"Безымянный раб";"";"2003";"6";"2014-12-31 15:35:05"
"Самоубийство (В. Суворов)";"";"2001";"7";"2014-12-31 15:34:40"
"На темной стороне";"";"2000";"10";"2014-12-31 15:34:25"
"Имортист";"";"2003";"10";"2014-12-31 15:34:16"
"Уши в трубочку";"";"2003";"10";"2014-12-31 15:34:03"
"Одиночество мага";"";"2001";"9";"2014-12-31 15:33:53"
"Тигр! Тигр! (1956)";"";"1956";"10";"2014-12-31 15:33:22"
"Последний Дозор";"";"2005";"5";"2014-12-31 15:32:05"
"Крысолов";"";"2004";"7";"2014-12-31 15:31:48"
"Князь Рус (Ю. Никитин)";"";"1996";"10";"2014-12-31 15:31:29"
"Ричард Длинные Руки — сеньор";"";"2003";"9";"2014-12-31 15:31:14"
"Княжий пир";"";"1997";"9";"2014-12-31 15:30:50"
"Вьюга теней";"";"2003";"8";"2014-12-31 15:30:37"
"Дитя Тьмы";"";"1980";"7";"2014-12-31 15:30:15"
"Изгой (2000)";"";"2000";"8";"2014-12-31 15:30:02"
"Волшебник Изумрудного города";"";"1939";"6";"2014-12-31 15:29:45"
"Девять Принцев Амбера";"";"1970";"9";"2014-12-31 15:29:28"
"Смерть взаймы";"";"1998";"10";"2014-12-31 15:28:15"
"Наступление тьмы";"";"1980";"7";"2014-12-31 15:27:34"
"Ледокол";"";"1992";"7";"2014-12-31 15:27:18"
