"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Не грози южному централу, попивая сок у себя в квартале";"Don’t Be a Menace to South Central While Drinking Your Juice in the Hood, Не грози южному централу, попивая сок у себя в квартале";"1996";"7";"2015-01-30 15:44:46"
"Мечтатели (2003)";"The Dreamers";"2003";"8";"2015-01-30 15:44:19"
"Помни меня";"Remember Me";"2010";"4";"2015-01-30 15:43:46"
"Меняющие реальность";"The Adjustment Bureau";"2011";"6";"2015-01-30 15:43:17"
"Пророк (2007)";"Next";"2007";"4";"2015-01-30 15:43:11"
"Вспомнить всё";"Total Recall";"2012";"5";"2015-01-30 15:40:25"
"Помни";"Memento";"2000";"10";"2015-01-30 15:39:23"
"Дикость (1998)";"Wild Things";"1998";"6";"2015-01-30 15:38:57"
"Зловещие мертвецы: Черная книга";"The Evil Dead";"2013";"6";"2015-01-30 15:38:05"
"Зловещие мертвецы 3: Армия тьмы";"The Evil Dead 3: Army of Darkness";"1992";"10";"2015-01-30 15:37:58"
"Оз: Великий и Ужасный";"Оz thе Grеаt аnd Роwеrful";"2013";"5";"2015-01-30 15:37:51"
"Новый Человек-паук: Высокое напряжение";"The Amazing Spider-Man 2";"2014";"5";"2015-01-30 15:37:04"
"Человек-Паук 2";"Spider-Man 2";"2004";"6";"2015-01-30 15:36:54"
"Новый Человек-паук (2012)";"The Amazing Spider-Man, Человек-паук 3D, Untitled Spider-Man Reboot, Удивительный Человек-паук";"2012";"5";"2015-01-30 15:36:51"
"Человек-Паук";"Spider-Man";"2002";"8";"2015-01-30 15:36:08"
"Рок звезда";"Rock Star";"2001";"8";"2015-01-30 15:35:15"
"Ведьмак (2001)";"Wiedzmin";"2001";"7";"2015-01-30 15:34:58"
"Шоугелз";"Showgirls";"1995";"8";"2015-01-30 15:34:11"
"Лара Крофт: Расхитительница гробниц 2 — Колыбель жизни";"Lara Croft Tomb Raider: The Cradle of Life";"2003";"4";"2015-01-30 15:33:46"
"Лара Крофт: Расхитительница гробниц";"Lara Croft: Tomb Raider";"2001";"5";"2015-01-30 15:33:34"
"Девятые врата";"The Ninth Gate";"1999";"6";"2015-01-30 15:33:04"
"Королевская битва";"Battle Royale";"2000";"7";"2015-01-30 15:32:36"
"Беовульф (1999)";"Beowulf";"1999";"8";"2015-01-30 15:31:56"
"Достучаться до небес";"Knockin’ On Heaven’s Door";"1997";"7";"2015-01-30 15:31:15"
"История рыцаря";"A Knight’s Tale";"2001";"10";"2015-01-30 15:30:01"
"Найтмен";"Night Man";"1997";"6";"2015-01-30 15:28:02"
"Горец 4: Конец игры";"Highlander Endgame";"2000";"5";"2015-01-30 15:24:11"
"Горец 3: Последнее измерение";"Highlander 3: Final Dimension";"1994";"6";"2015-01-30 15:24:07"
"Горец 2: Оживление";"Highlander 2: The Quickening";"1991";"7";"2015-01-30 15:23:56"
"Горец (1992-1998)";"Highlander: The Series";"1992";"6";"2015-01-30 15:22:14"
"Горец (1986)";"Highlander";"1986";"8";"2015-01-30 15:21:48"
"Обитель зла: Возмездие";"Resident Evil: Retribution, Обитель зла 5";"2012";"3";"2015-01-30 15:20:46"
"Обитель зла 4";"Resident Evil: Afterlife, Обитель зла 4: Жизнь после смерти 3D";"2010";"5";"2015-01-30 15:20:39"
"Обитель зла 3";"Resident Evil: Extinction";"2007";"5";"2015-01-30 15:20:22"
"Обитель зла";"Resident Evil";"2002";"7";"2015-01-30 15:19:57"
"Люди Икс (1992-1997)";"X-Men";"1992";"7";"2015-01-30 15:19:18"
"Люди Икс (2000)";"X-Men";"2000";"8";"2015-01-30 15:19:06"
"Конан — варвар";"Conan the Barbarian";"1982";"8";"2015-01-30 15:18:05"
"Конан-разрушитель";"Conan The Destroyer";"1984";"8";"2015-01-30 15:18:00"
"Конан-варвар";"Conan the Barbarian";"2011";"6";"2015-01-30 15:17:51"
"Страх и ненависть в Лас-Вегасе";"Fear and Loathing in Las Vegas";"1998";"3";"2015-01-30 15:17:18"
"Кровавый спорт";"Bloodsport";"1988";"6";"2015-01-30 15:16:56"
"Астерикс и Обеликс против Цезаря";"Astérix & Obélix contre César";"1999";"3";"2015-01-29 23:48:06"
"Кокаин (2001)";"Blow";"2001";"6";"2015-01-29 23:47:43"
"Человек тьмы";"Darkman";"1990";"7";"2015-01-29 23:47:11"
"Человек на Луне";"Man on the Moon";"1999";"9";"2015-01-29 23:46:53"
"Уличный боец (2009)";"Street Fighter: The Legend of Chun-Li";"2009";"3";"2015-01-29 23:46:33"
"Уличный боец (1994)";"Street Fighter";"1994";"8";"2015-01-29 23:46:27"
"Тупой и еще тупее";"Dumb and Dumber";"1994";"4";"2015-01-29 23:46:02"
"Стой! Или моя мама будет стрелять";"Stop! Or My Mom Will Shoot";"1992";"6";"2015-01-29 23:45:39"
"Смертельная Битва: Возрождение";"Mortal Kombat: Rebirth";"2010";"6";"2015-01-29 23:45:15"
"Смертельная битва: Завоевание";"Mortal Kombat: Konquest";"1998";"6";"2015-01-29 23:44:47"
"Смертельная битва 2: Истребление";"Mortal Kombat II: Annihilation";"1997";"6";"2015-01-29 23:44:32"
"Смертельная битва (1995)";"Mortal Kombat";"1995";"9";"2015-01-29 23:44:14"
"Робот-полицейский 3";"Robocop 3";"1993";"6";"2015-01-29 23:43:23"
"Робот-полицейский 2";"Robocop 2";"1990";"7";"2015-01-29 23:43:16"
"Робот-полицейский";"Robocop, Робокоп";"1987";"9";"2015-01-29 23:43:12"
"Правдивая ложь";"True Lies";"1994";"7";"2015-01-29 23:42:36"
"Плезантвиль";"Pleasantville";"1998";"8";"2015-01-29 23:42:17"
"Мужчина по вызову";"Deuce Bigalow: Male Gigolo";"1999";"8";"2015-01-29 23:41:41"
"Крепкий орешек 3: Возмездие";"Die Hard: With a Vengeance";"1995";"7";"2015-01-29 23:41:18"
"Космический джем";"Space Jam";"1996";"7";"2015-01-29 23:41:04"
"Звездные войны: Эпизод 1 — Скрытая угроза";"Star Wars: Episode I: The Phantom Menace";"1999";"8";"2015-01-29 23:40:51"
"День сурка";"Groundhog Day";"1993";"8";"2015-01-29 23:40:32"
"Грязные танцы";"Dirty Dancing";"1987";"5";"2015-01-29 00:11:11"
"Ворон (1994)";"The Crow";"1994";"8";"2015-01-29 00:10:45"
"Американский пирог";"The American Pie";"1999";"6";"2015-01-29 00:10:13"
"Эйс Вентура: Розыск домашних животных";"Ace Ventura. Pet Detective";"1993";"6";"2015-01-29 00:09:58"
"Хакеры";"Hackers";"1995";"3";"2015-01-29 00:09:30"
"Рокки";"Rocky";"1976";"7";"2015-01-29 00:09:00"
"Бегущий по лезвию бритвы";"Blade Runner";"1982";"7";"2015-01-29 00:07:49"
"Эдвард руки-ножницы";"Edward Scissorhands";"1990";"7";"2015-01-29 00:07:11"
"Чужие (1986)";"Aliens";"1986";"8";"2015-01-29 00:07:02"
"Чужой 3";"Alien 3";"1992";"8";"2015-01-29 00:06:46"
"Чужой 4: Воскрешение";"Alien: Resurrection";"1998";"9";"2015-01-29 00:06:39"
"Чужой (1979)";"Alien";"1979";"8";"2015-01-29 00:06:32"
"Хищник 2";"Predator 2";"1990";"4";"2015-01-29 00:05:54"
"Форрест Гамп";"Forrest Gump";"1994";"8";"2015-01-29 00:05:40"
"Люди в черном (1997-2001)";"Men in Black: The Series";"1997";"7";"2015-01-29 00:05:29"
"Список Шиндлера";"Schindler’s List";"1993";"9";"2015-01-29 00:05:18"
"Смерть ей к лицу";"Death Becomes Her";"1992";"7";"2015-01-29 00:05:00"
"От заката до рассвета";"From Dusk Till Dawn";"1996";"8";"2015-01-29 00:04:42"
"Один дома 2: Потерявшийся в Нью-Йорке";"Home Alone 2: Lost in New York";"1992";"4";"2015-01-29 00:04:24"
"Один дома";"Home Alone";"1990";"5";"2015-01-29 00:04:19"
"Муха (1986)";"The Fly";"1986";"7";"2015-01-29 00:04:03"
"Джуниор";"Junior";"1994";"5";"2015-01-25 23:55:59"
"Водный мир";"Waterworld";"1995";"8";"2015-01-25 23:55:46"
"Большой (1988)";"Big";"1988";"4";"2015-01-25 23:55:12"
"Близнецы (1988)";"Twins";"1988";"5";"2015-01-25 23:54:46"
"Маска (1994)";"The Mask";"1994";"8";"2015-01-25 23:54:29"
"Бегущий человек (1987)";"The Running Man";"1987";"8";"2015-01-25 23:53:56"
"Бойцовский клуб";"Fight Club";"1999";"10";"2015-01-25 23:53:23"
"Остин Пауэрс: Человек-загадка международного масштаба";"Austin Powers: International Man of Mystery";"1997";"7";"2015-01-25 23:53:07"
"Сонная Лощина";"Sleepy Hollow";"1999";"6";"2015-01-25 23:52:48"
"Побег из Шоушенка";"The Shawshank Redemption";"1994";"8";"2015-01-25 23:51:35"
"Терминатор";"The Terminator";"1984";"6";"2015-01-25 23:50:41"
"Основной инстинкт (1992)";"Basic Instinct";"1992";"8";"2015-01-25 23:50:17"
"Шоу Трумана";"The Truman Show";"1998";"9";"2015-01-25 23:50:05"
"Назад в будущее (1985)";"Back To The Future";"1985";"8";"2015-01-25 23:49:50"
"Игра (1997)";"The Game";"1997";"8";"2015-01-25 23:49:27"
"В осаде";"Under Siege, Захват";"1992";"6";"2015-01-25 23:48:39"
"Мост в Терабитию";"Bridge to Terabithia";"2006";"5";"2015-01-25 23:48:22"
"Я снова Я и Ирэн";"Me, Myself & Irene";"2000";"6";"2015-01-25 03:27:24"
"Я робот";"I, Robot";"2004";"4";"2015-01-25 03:26:57"
"Эффект бабочки";"The Butterfly Effect";"2004";"7";"2015-01-25 03:26:38"
"Электра (2005)";"Elektra";"2005";"4";"2015-01-25 03:26:23"
"Эквилибриум";"Equilibrium";"2002";"8";"2015-01-25 03:26:10"
"Эйс Вентура: Когда зовет природа";"Ace Ventura: When Nature Calls";"1995";"5";"2015-01-25 03:25:59"
"Шрек 2";"Shrek 2";"2004";"6";"2015-01-25 03:25:44"
"Шрек";"Shrek, Шрэк";"2001";"8";"2015-01-25 03:25:40"
"Школа негодяев";"School for Scoundrels";"2006";"5";"2015-01-25 03:24:56"
"Лего Фильм";"The Lego Movie";"2014";"6";"2015-01-25 03:24:22"
"Что гложет Гилберта Грейпа";"What’s Eating Gilbert Grape";"1993";"4";"2015-01-25 03:24:12"
"Четыре комнаты";"Four Rooms";"1995";"7";"2015-01-25 03:23:59"
"Чего хотят женщины (2000)";"What Women Want";"2000";"3";"2015-01-25 03:23:47"
"Час пик (1998)";"Rush Hour";"1998";"7";"2015-01-25 03:23:33"
"Чарли и Шоколадная Фабрика";"Charlie and the Chocolate Factory";"2005";"6";"2015-01-25 03:23:19"
"Хроники Риддика";"The Chronicles of Riddick";"2004";"9";"2015-01-25 03:23:08"
"Хоттабыч";"}{отт@бь)ч";"2006";"3";"2015-01-25 03:22:55"
"Хозяин морей: На краю Земли";"Master and Commander: The Far Side of the World";"2003";"8";"2015-01-25 03:22:39"
"Ходячий замок";"Howl’s Moving Castle, Howl no Ugoku Shiro, Шагающий Замок";"2004";"9";"2015-01-25 03:22:27"
"Халк";"Hulk";"2003";"6";"2015-01-25 03:22:08"
"Форсаж (2001, США)";"The Fast and the Furious";"2001";"7";"2015-01-25 03:21:07"
"Фантастическая четверка (2005)";"Fantastic Four";"2005";"3";"2015-01-25 03:20:47"
"Уоллес и Громит: Проклятие кролика-оборотня";"Wallace & Gromit in The Curse of the Were-Rabbit";"2005";"3";"2015-01-25 03:20:07"
"Универсальный солдат";"Universal Soldier";"1992";"8";"2015-01-24 17:57:22"
"Унесенные призраками";"Sen to Chihiro no kamikakushi/Spirited Away";"2001";"8";"2015-01-24 17:57:04"
"Ультрафиолет (2006)";"Ultraviolet";"2006";"4";"2015-01-24 17:56:51"
"Убить Билла 2";"Kill Bill: Vol. 2";"2004";"7";"2015-01-24 17:56:33"
"Убить Билла";"Kill Bill: Vol. 1";"2003";"6";"2015-01-24 17:56:24"
"Труп невесты";"Corpse Bride";"2005";"7";"2015-01-24 17:56:09"
"Три икса";"xXx, Triple X";"2002";"5";"2015-01-24 17:55:29"
"Трасса 60";"Interstate 60";"2001";"8";"2015-01-24 17:55:18"
"Терминатор 3: Восстание машин";"Terminator 3: Rise of the Machines/Terminator 3/T3: Rise of the Machines";"2003";"5";"2015-01-24 17:55:04"
"Терминатор 2: Судный день";"Terminator 2: Judgment Day";"1991";"8";"2015-01-24 17:54:28"
"Танго и Кэш";"Tango & Cash";"1989";"7";"2015-01-24 17:54:02"
"Талантливый мистер Рипли";"The Talented Mr. Ripley";"1999";"8";"2015-01-24 17:53:22"
"Такси (1998)";"Taxi";"1998";"5";"2015-01-24 17:52:58"
"Судья Дредд 3D (2012)";"Dredd 3D";"2012";"8";"2015-01-24 17:52:38"
"Судья Дредд (1995)";"Judge Dredd";"1995";"9";"2015-01-24 17:52:17"
"Страшилы";"The Frighteners, Вселяющие страх";"1996";"9";"2015-01-24 17:52:05"
"Соседка (2004)";"The Girl Next Door";"2004";"7";"2015-01-24 17:49:50"
"Сорвиголова (2003)";"Daredevil";"2003";"5";"2015-01-24 17:49:25"
"Солярис (2002)";"Solaris";"2002";"8";"2015-01-24 17:49:03"
"Собачье сердце";"";"1988";"7";"2015-01-24 17:48:47"
"Сквозь снег";"Snowpiercer";"2013";"10";"2015-01-23 00:34:14"
"Служебный роман";"";"1977";"2";"2015-01-23 00:34:00"
"Скалолаз";"Cliffhanger";"1993";"5";"2015-01-23 00:33:45"
"Святые из Бундока";"The Boondock Saints, Mission des dieux";"1999";"8";"2015-01-23 00:33:31"
"Сволочи";"Bastards";"2006";"2";"2015-01-23 00:33:07"
"Сайлент Хилл";"Silent Hill";"2006";"6";"2015-01-23 00:32:48"
"Рыжая Соня (1985)";"Red Sonja";"1985";"6";"2015-01-23 00:32:31"
"Республика ШКИД";"";"1966";"2";"2015-01-23 00:31:41"
"Реквием по мечте";"Requiem for a Dream";"2000";"8";"2015-01-23 00:31:22"
"Револьвер (2005)";"Revolver";"2005";"9";"2015-01-23 00:31:09"
"Реальная любовь";"Love Actually";"2003";"7";"2015-01-23 00:30:58"
"Разрушитель";"Demolition Man";"1993";"8";"2015-01-23 00:30:42"
"Пятый элемент";"The Fifth Element";"1997";"8";"2015-01-23 00:30:24"
"Призрачный гонщик 2";"Ghost Rider: Spirit of Vengeance";"2012";"3";"2015-01-23 00:24:53"
"Правила съема: Метод Хитча";"Hitch";"2005";"5";"2015-01-23 00:24:31"
"Последний самурай (2003)";"The Last Samurai";"2003";"7";"2015-01-23 00:24:15"
"Последний киногерой";"Last Action Hero";"1993";"7";"2015-01-23 00:23:37"
"Планета Ка-Пэкс";"K-PAX";"2001";"8";"2015-01-23 00:23:26"
"Пираты Карибского моря 2: Сундук мертвеца";"Pirates of the Caribbean: Dead Man’s Chest";"2006";"5";"2015-01-23 00:23:05"
"Перевозчик (2002)";"The Transporter, Le Transporteur";"2002";"7";"2015-01-23 00:22:38"
"Очень страшное кино 5";"Scary movie 5";"2013";"4";"2015-01-23 00:22:04"
"Очень страшное кино 2";"Scary Movie 2";"2001";"6";"2015-01-23 00:21:33"
"Очень страшное кино";"Scary Movie";"2000";"6";"2015-01-23 00:21:09"
"Отступники (2006)";"The Departed";"2006";"5";"2015-01-23 00:20:39"
"Самоволка";"Lionheart";"1990";"6";"2015-01-22 01:31:58"
"Сид и Нэнси";"Sid & Nancy, Sid and Nancy";"1986";"5";"2015-01-22 01:31:41"
"Секретарша";"Secretary";"2002";"10";"2015-01-22 01:31:13"
"Поле битвы — Земля";"Battlefield Earth, Battlefield Earth: A Saga of the Year 3000";"2000";"4";"2015-01-22 01:30:56"
"Отпуск по обмену";"The Holiday";"2006";"4";"2015-01-22 01:30:41"
"Остров (2005)";"The Island";"2005";"6";"2015-01-22 01:30:21"
"Остин Пауэрс: Шпион который меня соблазнил";"Austin Powers: The Spy Who Shagged Me";"1999";"7";"2015-01-22 01:29:30"
"Остин Пауэрс: Голдмембер";"Austin Powers in Goldmember";"2002";"6";"2015-01-22 01:29:18"
"Особое мнение (2002)";"Minority Report";"2002";"7";"2015-01-22 01:29:04"
"Операция «Ы» и другие приключения Шурика";"";"1965";"6";"2015-01-22 01:28:49"
"Она — мужчина";"She’s the Man";"2006";"5";"2015-01-22 01:28:06"
"Олдбой (2003)";"Oldeuboi, Oldboy";"2003";"6";"2015-01-22 01:27:44"
"Обитель зла 2: Апокалипсис";"Resident Evil: Apocalypse";"2004";"5";"2015-01-22 01:27:21"
"Ночь в музее";"Night at the Museum";"2006";"5";"2015-01-22 01:27:04"
"Ночной Дозор (2004)";"Night Watch";"2004";"3";"2015-01-22 01:26:44"
"Нокдаун (2005)";"Cinderella Man";"2005";"6";"2015-01-22 01:26:27"
"Неуместный человек";"Den Brysomme Mannen, The Bothersome Man";"2006";"7";"2015-01-22 01:26:08"
"Неоспоримый 2";"Undisputed II: Last Man Standing";"2006";"8";"2015-01-22 01:25:56"
"Небесный Капитан и Мир Будущего";"Sky Captain and the World of Tomorrow/The World of Tomorrow";"2004";"5";"2015-01-22 01:25:44"
"Назад в будущее 2";"Back to the Future Part II";"1989";"7";"2015-01-22 01:25:19"
"Мумия возвращается";"The Mummy Returns";"2001";"4";"2015-01-22 01:25:06"
"Моя супер-бывшая";"My Super Ex-Girlfriend";"2006";"6";"2015-01-22 01:24:43"
"Моя мачеха — инопланетянка";"My Stepmother Is An Alien";"1988";"5";"2015-01-22 01:24:28"
"Москва слезам не верит";"";"1979";"4";"2015-01-22 01:24:12"
"Мистер и миссис Смит (2005)";"Mr. and Mrs. Smith";"2005";"6";"2015-01-22 01:23:45"
"Миссия Серенити";"Serenity";"2005";"8";"2015-01-22 01:23:15"
"Мисс Конгениальность";"Miss Congeniality";"2000";"5";"2015-01-22 01:23:05"
"Марс атакует";"Mars Attacks!";"1996";"6";"2015-01-22 01:22:51"
"Малышка на миллион";"Million Dollar Baby";"2004";"8";"2015-01-22 01:22:38"
"Майор Пэйн";"Major Payne";"1995";"5";"2015-01-21 23:55:02"
"Люди Икс: Последняя битва";"X-Men: The Last Stand";"2006";"7";"2015-01-21 23:54:32"
"Люди Икс 2";"X2";"2003";"7";"2015-01-21 23:54:17"
"Люди в черном 2";"Men in Black II";"2002";"7";"2015-01-21 23:53:58"
"Лига выдающихся джентльменов";"The League of Extraordinary Gentlemen";"2003";"7";"2015-01-21 23:53:29"
"Лжец лжец";"Liar Liar";"1997";"5";"2015-01-21 23:52:56"
"Леон (1994)";"Léon";"1994";"9";"2015-01-21 23:52:33"
"Ледниковый период (2002, США)";"Ice Age";"2002";"6";"2015-01-21 23:52:12"
"Лабиринт Фавна";"El Laberinto del fauno";"2006";"5";"2015-01-20 23:53:06"
"Куда приводят мечты";"What Dreams May Come";"1998";"3";"2015-01-20 23:52:53"
"Крэйзи";"Havoc";"2005";"8";"2015-01-20 23:52:34"
"Крупная рыба";"Big Fish";"2003";"3";"2015-01-20 23:52:20"
"Криминальное чтиво";"Pulp Fiction";"1994";"8";"2015-01-20 23:52:00"
"Крикуны";"Screamers";"1995";"5";"2015-01-20 23:51:47"
"Крепкий орешек (1988)";"Die Hard";"1988";"7";"2015-01-20 23:51:34"
"Корпорация монстров";"Monsters, Inc";"2001";"5";"2015-01-20 23:51:13"
"Король Лев";"The Lion King";"1994";"6";"2015-01-20 23:50:57"
"Константин: повелитель тьмы";"Constantine";"2005";"8";"2015-01-20 23:50:26"
"Коммандос (1985)";"Commando";"1985";"7";"2015-01-20 23:50:13"
"Козырные тузы";"Smokin’ Aces";"2006";"8";"2015-01-20 23:49:58"
"Князь Владимир";"";"2005";"5";"2015-01-20 23:49:33"
"Кейт и Лео";"Kate & Leopold";"2001";"5";"2015-01-20 23:49:07"
"Кавказская пленница";"Кавказская пленница, или Новые приключения Шурика";"1966";"3";"2015-01-20 23:48:55"
"Ирония судьбы или С легким паром";"";"1975";"3";"2015-01-20 23:48:44"
"Интервью с вампиром";"Interview with the Vampire: The Vampire Chronicles";"1994";"4";"2015-01-20 23:48:26"
"Изображая бога";"Playing God";"1997";"4";"2015-01-20 23:48:07"
"Из 13 в 30";"13 Going On 30";"2004";"5";"2015-01-20 23:47:58"
"Игры разума";"A Beautiful Mind";"2001";"8";"2015-01-20 23:47:25"
"Иван Васильевич меняет профессию";"";"1973";"5";"2015-01-20 23:47:01"
"Зомби по имени Шон";"Shaun of the Dead, Шон живых мертвецов";"2004";"9";"2015-01-20 23:46:53"
"Знакомство с родителями";"Meet the Parents";"2000";"5";"2015-01-20 23:46:25"
"Зловещие мертвецы 2";"Evil Dead 2: Dead by Dawn";"1987";"9";"2015-01-20 23:46:09"
"Зеленая миля";"The Green Mile";"1999";"5";"2015-01-20 23:45:42"
"Здесь курят";"Thank You for Smoking";"2005";"7";"2015-01-20 23:45:27"
"Звездный десант (1997)";"Starship Troopers";"1997";"7";"2015-01-20 23:45:07"
"Заводной апельсин";"A Clockwork Orange";"1971";"6";"2015-01-20 23:44:39"
"Жмурки (2005)";"Жмурки";"2005";"2";"2015-01-20 23:44:27"
"Животное (2001)";"The Animal";"2001";"6";"2015-01-20 23:44:17"
"Женщина-Кошка";"Catwoman";"2004";"3";"2015-01-20 23:43:55"
"Дьявол носит Prada";"The Devil Wears Prada";"2006";"5";"2015-01-20 23:43:38"
"Другой мир";"Underworld";"2003";"6";"2015-01-20 23:43:17"
"Доспехи бога";"Long xiong hu di/Armour of God";"1986";"5";"2015-01-20 23:42:46"
"Дом у озера (2006)";"The Lake House";"2006";"5";"2015-01-20 23:42:35"
"Дом из песка и тумана";"House of Sand and Fog";"2003";"4";"2015-01-20 23:42:19"
"Дом большой мамочки 2";"Big Momma’s House 2";"2006";"4";"2015-01-20 23:42:06"
"Догма";"Dogma";"1999";"6";"2015-01-20 23:41:14"
"Добрыня Никитич и Змей Горыныч";"Dobrynya Nikitich i Zmey Gorynych";"2006";"5";"2015-01-20 23:40:56"
"Дневной Дозор";"";"2005";"2";"2015-01-20 20:48:46"
"Дневник Бриджит Джонс: Грани разумного";"Bridget Jones: The Edge of Reason";"2004";"7";"2015-01-20 20:48:28"
"ДМБ";"";"2000";"9";"2015-01-20 20:48:12"
"Дитя человеческое (2006)";"Children of Men";"2006";"8";"2015-01-20 20:47:38"
"Дикий, дикий Запад";"Wild Wild West";"1999";"5";"2015-01-20 20:45:18"
"Джонни Мнемоник";"Johnny Mnemonic";"1995";"9";"2015-01-20 20:45:00"
"Джей и Молчаливый Боб наносят ответный удар";"Jay and Silent Bob Strike Back";"2001";"6";"2015-01-20 20:44:17"
"Горько (2013)";"Горько!";"2013";"1";"2015-01-20 20:43:43"
"Горько! 2";"";"2014";"1";"2015-01-20 20:43:19"
"Девять ярдов";"The Whole Nine Yards";"2000";"7";"2015-01-20 20:09:18"
"Девять ярдов 2";"The Whole Ten Yards, Десять ярдов";"2004";"6";"2015-01-20 20:09:15"
"Гремлины";"Gremlins";"1984";"6";"2015-01-20 20:08:38"
"Седьмой сын";"Seventh Son";"2015";"7";"2015-01-20 16:08:33"
"Город грехов";"Sin City";"2005";"10";"2015-01-20 04:16:51"
"Горбатая гора";"Brokeback Mountain";"2005";"7";"2015-01-20 04:16:36"
"Гладиатор (2000)";"Gladiator";"2000";"5";"2015-01-20 04:16:22"
"Гаттака";"Gattaca";"1997";"8";"2015-01-20 04:16:10"
"Вспомнить все (1990)";"Total Recall";"1990";"8";"2015-01-20 04:15:47"
"Все без ума от Мэри";"There’s Something About Mary";"1998";"4";"2015-01-20 04:15:31"
"Властелин колец 3: Возвращение Короля";"The Lord of the Rings: The Return of the King";"2003";"8";"2015-01-20 04:15:16"
"Властелин колец 2: Две крепости";"The Lord of the Rings: The Two Towers";"2002";"8";"2015-01-20 04:15:10"
"Властелин колец: Братство кольца";"The Lord of the Rings: The Fellowship of the Ring";"2001";"8";"2015-01-20 04:15:03"
"Взрыв из прошлого";"Blast from the Past";"1998";"6";"2015-01-20 04:14:44"
"Вечное сияние чистого разума";"Eternal Sunshine of the Spotless Mind";"2004";"8";"2015-01-20 04:14:12"
"Версия 1.0";"One Point O/1.0";"2004";"6";"2015-01-20 04:13:57"
"Ван Хельсинг";"Van Helsing";"2004";"8";"2015-01-20 04:13:33"
"В поисках приключений";"The Quest";"1996";"5";"2015-01-20 04:13:11"
"В джазе только девушки";"Some Like It Hot, Некоторые любят погорячее";"1959";"5";"2015-01-17 23:15:04"
"Бэтмен: Начало";"Batman Begins";"2005";"8";"2015-01-17 23:14:49"
"Бэтмен и Робин";"Batman & Robin";"1997";"7";"2015-01-17 23:14:07"
"Быть Джоном Малковичем";"Being John Malkovich";"1999";"9";"2015-01-17 23:13:49"
"Бумер";"";"2003";"6";"2015-01-17 23:13:22"
"Бумер: фильм второй";"";"2006";"7";"2015-01-17 23:13:18"
"Брюс всемогущий";"Bruce Almighty";"2003";"6";"2015-01-17 23:12:58"
"Бриллиантовая рука";"";"1968";"4";"2015-01-17 23:12:38"
"Братья Гримм";"The Brothers Grimm";"2005";"8";"2015-01-17 23:12:27"
"Брат 2";"";"2000";"7";"2015-01-17 23:12:10"
"Брат";"";"1997";"7";"2015-01-17 23:12:06"
"Борат";"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan";"2006";"8";"2015-01-17 23:11:16"
"Большой Лебовски";"The Big Lebowski";"1998";"6";"2015-01-17 23:11:01"
"Большой куш (2000)";"Snatch";"2000";"9";"2015-01-17 23:10:41"
"Бой с тенью (2005)";"Boxing a Shadow";"2005";"5";"2015-01-17 23:10:26"
"Блэйд 2";"Blade II/Blade 2: Bloodhunt/Blade 2: Bloodlust";"2002";"7";"2015-01-17 23:10:11"
"Блэйд";"Blade";"1998";"7";"2015-01-17 23:09:57"
"Бладрейн";"BloodRayne";"2005";"4";"2015-01-17 23:09:27"
"Бешеные псы (1991)";"Reservoir Dogs";"1991";"8";"2015-01-17 23:08:46"
"Безумный Макс 2: Воин дороги";"Mad Max 2: The Road Warrior";"1981";"7";"2015-01-17 23:08:31"
"V значит Вендетта";"V for Vendetta";"2006";"10";"2015-01-17 23:08:11"
"Охотник на вампиров Д: Жажда крови";"Vampire Hunter D, Vampire Hunter D: Bloodlust";"2000";"9";"2015-01-17 23:07:39"
"D.O.A: Живой или мертвый";"DOA: Dead or Alive";"2006";"4";"2015-01-17 23:07:21"
"9 1/2 недель";"Nine 1/2 Weeks, Девять с половиной недель";"1985";"3";"2015-01-17 23:07:05"
"16 кварталов";"16 Blocks";"2006";"8";"2015-01-17 23:06:53"
"13-й район";"Banlieue 13";"2004";"7";"2015-01-17 23:06:01"
"Бен Икс";"Ben X";"2007";"5";"2015-01-17 23:05:36"
"Трансформеры 2: Месть падших";"Transformers 2: Revenge of the Fallen";"2009";"7";"2015-01-17 23:05:01"
"Исчезнувшая (2014)";"Gone Girl";"2014";"9";"2015-01-17 23:04:29"
"Загадочная история Бенджамина Баттона";"The Curious Case of Benjamin Button";"2008";"9";"2015-01-17 23:04:06"
"Дориан Грей (2009)";"Dorian Gray";"2009";"5";"2015-01-17 23:02:19"
"Потрошители";"Repo Men, Изъятие";"2009";"10";"2015-01-17 23:02:02"
"Бунраку";"Bunraku";"2010";"10";"2015-01-17 23:01:17"
"Перевозчик 3";"Transporter 3";"2008";"7";"2015-01-17 23:00:20"
"Как приручить дракона";"How to Train Your Dragon";"2010";"7";"2015-01-17 19:40:49"
"Бронсон";"Bronson";"2009";"6";"2015-01-17 19:40:03"
"Белая мгла";"Whiteout";"2009";"5";"2015-01-17 19:39:44"
"Безумный Макс";"Mad Max";"1979";"3";"2015-01-17 19:39:12"
"Беги, Лола, беги";"Lola rennt";"1998";"7";"2015-01-17 19:37:22"
"Нас приняли";"Accepted";"2006";"6";"2015-01-17 19:37:07"
"Народ против Ларри Флинта";"The People vs. Larry Flynt";"1996";"7";"2015-01-17 19:36:55"
